X,Y,Station,Setup,Retrieval
-58.319361,-31.860135,ab17_s54_c1,2017-04-28,2017-05-24
-58.267565,-31.871245,ab17_s34_c3,2017-04-28,2017-05-24
-58.22531,-31.873843,ab17_s6_c4,2017-04-27,2017-05-24
-58.230216,-31.865035,ab17_s3_c5,2017-04-27,2017-05-23
-58.231766,-31.870116,ab17_s4_c6,2017-04-27,2017-05-08
-58.231434,-31.876121,ab17_s8_c7,2017-04-27,2017-05-24
-58.23395,-31.88551,jl17_s13_c1,2017-07-23,2017-08-30
-58.23771,-31.8818,jl17_s21_c2,2017-07-24,2017-08-30
-58.2381,-31.87016,jl17_s10_c3,2017-07-24,2017-08-30
-58.31982,-31.85653,jl17_s53_c4,2017-07-26,2017-08-30
-58.29062,-31.85731,jl17_s5_c46,2017-07-26,2017-08-30
-58.31149,-31.85165,jl17_s51_c6,2017-07-26,2017-08-20
-58.27087,-31.88292,jl17_s28_c7,2017-07-25,2017-08-10
-58.227845,-31.860396,nv17_s2_c1,2017-10-31,2017-11-18
-58.227485,-31.874753,nv17_s7_c2,2017-11-01,2017-12-06
-58.249559,-31.886923,nv17_s19_c3,2017-11-01,2017-12-06
-58.243043,-31.878897,nv17_s23_c4,2017-11-03,2017-12-06
-58.268836,-31.886126,nv17_s26_c5,2017-11-03,2017-12-06
-58.282752,-31.865745,nv17_s39_c6,2017-11-04,2017-12-05
-58.270879,-31.882918,nv17_s28_c7,2017-11-03,2017-12-06
-58.238893,-31.870167,fb18_s10_c1,2018-02-11,2018-03-13
-58.2384,-31.881597,fb18_s21_c2,2018-02-10,2018-03-13
-58.267978,-31.870995,fb18_s34_c3,2018-02-11,2018-03-13
-58.282773,-31.865749,fb18_s39_c4,2018-02-11,2018-02-22
-58.311477,-31.851664,fb18_s51_c5,2018-02-12,2018-03-13
-58.319821,-31.856532,fb18_s53_c6,2018-02-12,2018-03-13
-58.285162,-31.871817,fb18_s40_c7,2018-02-11,2018-03-13
-58.238093,-31.870129,ab18_s10_c1,2018-04-27,2018-05-22
-58.238417,-31.881606,ab18_s21_c2,2018-04-27,2018-07-24
-58.271488,-31.871094,ab18_s35_c3,2018-04-27,2018-07-23
-58.276367,-31.86899,ab18_s37_c4,2018-04-27,2018-05-14
-58.311484,-31.851664,ab18_s51_c5,2018-04-27,2018-07-23
-58.31982,-31.856538,ab18_s53_c6,2018-04-27,2018-07-23
-58.285173,-31.871777,ab18_s40_c7,2018-04-27,2018-07-23
-58.23119,-31.892851,ab18_s11_c8,2018-04-27,2018-07-24
-58.240537,-31.893956,ab18_s17_c9,2018-04-27,2018-06-01
-58.242988,-31.87939,ab18_s23_c10,2018-04-27,2018-07-25
-58.267753,-31.88083,ab18_s29_c11,2018-04-27,2018-07-25
-58.300642,-31.876861,ab18_s58_c12,2018-04-27,2018-07-25
-58.299503,-31.856649,ab18_s57_c13,2018-04-27,2018-07-23
-58.238417,-31.881606,jl18_s21_c2,2018-07-27,2018-10-13
-58.271361,-31.87135,jl18_s35_c3,2018-07-26,2018-10-13
-58.276367,-31.86899,jl18_s37_c4,2018-07-26,2018-07-26
-58.311558,-31.851544,jl18_s51_c5,2018-07-27,2018-10-13
-58.31982,-31.856538,jl18_s53_c6,2018-07-27,2018-10-13
-58.285173,-31.871777,jl18_s40_c7,2018-07-26,2018-10-13
-58.23119,-31.892851,jl18_s11_c8,2018-07-27,2018-08-01
-58.240537,-31.893956,jl18_s17_c9,2018-07-27,2018-10-13
-58.242988,-31.87939,jl18_s23_c10,2018-07-27,2018-10-13
-58.267753,-31.88083,jl18_s29_c11,2018-07-27,2018-10-13
-58.300642,-31.876861,jl18_s58_c12,2018-07-27,2018-10-16
-58.299503,-31.856649,jl18_s57_c13,2018-07-27,2018-10-13
-58.238093,-31.870129,di18_s10_c1,2018-12-02,2019-03-04
-58.238417,-31.881606,di18_s21_c2,2018-12-02,2019-02-17
-58.271361,-31.87135,di18_s35_c3,2018-12-03,2019-03-07
-58.276367,-31.86899,di18_s37_c4,2018-12-03,2018-12-04
-58.311568,-31.851576,di18_s51_c5,2018-12-02,2019-02-12
-58.31982,-31.856538,di18_s53_c6,2018-12-02,2018-12-18
-58.240537,-31.893956,di18_s17_c9,2018-12-02,2018-12-08
-58.242988,-31.87939,di18_s23_c10,2018-12-03,2019-01-15
-58.267753,-31.88083,di18_s29_c11,2018-12-02,2019-03-07
-58.300642,-31.876861,di18_s58_c12,2018-12-03,2019-02-13
-58.299503,-31.856649,di18_s57_c13,2018-12-03,2019-03-06
